epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,24.0227,1.81365,1.39572,0.88306,1,1,0.995,0.672,1.25988,1.53146,0.96657,0.0567522,0.000752224,0.000752224
46,24.5829,1.15599,0.70654,0.90146,1,1,0.995,0.672,1.25988,1.53146,0.96657,0.0557663,0.00076635,0.00076635
47,25.1623,1.472,0.97221,0.80464,1,1,0.995,0.672,1.32957,1.33039,0.97332,0.0547803,0.000780344,0.000780344
48,25.8461,1.53148,0.8632,0.79164,1,1,0.995,0.672,1.32957,1.33039,0.97332,0.0537942,0.000794206,0.000794206
49,26.4433,1.06394,0.72247,0.93896,0.91225,1,0.995,0.63025,1.43103,1.12555,0.98017,0.0528079,0.000807936,0.000807936
50,27.0683,0.93699,0.76232,0.7535,0.91225,1,0.995,0.63025,1.43103,1.12555,0.98017,0.0518215,0.000821534,0.000821534
51,27.7847,1.39949,0.85904,0.873,0.95156,1,0.995,0.6635,1.31717,0.9132,0.97909,0.050835,0.000835,0.000835
52,28.362,1.59576,0.93893,0.85834,0.95156,1,0.995,0.6635,1.31717,0.9132,0.97909,0.0498483,0.000848334,0.000848334
53,28.9458,1.04589,0.67417,0.8191,0.95156,1,0.995,0.6635,1.31717,0.9132,0.97909,0.0488615,0.000861536,0.000861536
54,29.5416,1.53369,0.7495,0.80741,0.96992,1,0.995,0.72975,1.26311,0.69231,0.98405,0.0478746,0.000874606,0.000874606
55,30.1379,1.13612,0.76245,0.81836,0.96992,1,0.995,0.72975,1.26311,0.69231,0.98405,0.0468875,0.000887544,0.000887544
56,30.7059,1.04652,0.57835,0.87027,0.96992,1,0.995,0.72975,1.26311,0.69231,0.98405,0.0459003,0.00090035,0.00090035
57,31.3312,1.16258,0.58949,0.83833,0.97836,1,0.995,0.63025,1.38449,0.53947,1.00085,0.044913,0.000913024,0.000913024
58,31.9314,0.95391,0.62035,0.8899,0.97836,1,0.995,0.63025,1.38449,0.53947,1.00085,0.0439256,0.000925566,0.000925566
59,32.4889,1.2045,0.96751,0.866,0.97836,1,0.995,0.63025,1.38449,0.53947,1.00085,0.042938,0.000937976,0.000937976
