epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.136,0.65566,0.46667,0.84303,0.95955,0.85286,0.96071,0.80843,0.72002,0.60649,0.82637,0.00194409,0.00194409,0.00194409
43,104.864,0.73609,0.51338,0.8262,0.83594,0.79323,0.92757,0.7705,0.72739,0.8117,0.82568,0.00194316,0.00194316,0.00194316
44,106.596,0.6669,0.45237,0.81585,0.85644,0.79748,0.91562,0.75538,0.70045,0.81757,0.82846,0.0019422,0.0019422,0.0019422
45,108.337,0.66845,0.50107,0.83898,0.90914,0.90959,0.98234,0.8099,0.73078,0.56733,0.83203,0.00194125,0.00194125,0.00194125
46,110.091,0.66619,0.43592,0.83536,0.9831,0.98476,0.995,0.83963,0.70015,0.4506,0.82775,0.00194028,0.00194028,0.00194028
47,111.816,0.69204,0.47391,0.81618,0.98423,0.9968,0.995,0.84134,0.69555,0.43696,0.82535,0.00193932,0.00193932,0.00193932
48,113.532,0.69871,0.46168,0.82372,0.98461,0.99837,0.995,0.84734,0.69014,0.43321,0.82322,0.00193837,0.00193837,0.00193837
49,115.306,0.64097,0.44064,0.81342,0.98297,0.97011,0.99446,0.84481,0.68341,0.45077,0.82235,0.00193743,0.00193743,0.00193743
50,117.263,0.64874,0.442,0.84409,0.94247,0.92429,0.9925,0.84373,0.69131,0.51205,0.82166,0.00193646,0.00193646,0.00193646
51,119.163,0.67541,0.48053,0.83751,0.95701,0.94444,0.99304,0.84767,0.68329,0.46995,0.82317,0.00193534,0.00193534,0.00193534
52,121.013,0.63745,0.46062,0.83563,0.98427,0.99817,0.995,0.84886,0.67289,0.40142,0.82242,0.0019343,0.0019343,0.0019343
53,122.829,0.66121,0.44256,0.815,0.99011,0.98148,0.99446,0.85253,0.64521,0.40366,0.82175,0.00193327,0.00193327,0.00193327
54,124.684,0.64052,0.42408,0.83827,0.96638,0.9594,0.99158,0.86109,0.64013,0.4507,0.82235,0.0019323,0.0019323,0.0019323
55,126.482,0.60625,0.46307,0.82356,0.97974,0.98878,0.99446,0.85197,0.64722,0.42119,0.82253,0.00193129,0.00193129,0.00193129
56,128.303,0.69147,0.47681,0.82222,0.9981,0.98099,0.99446,0.8399,0.65369,0.41159,0.82177,0.00193028,0.00193028,0.00193028
57,130.207,0.68056,0.46592,0.80891,0.99827,0.98047,0.99446,0.84043,0.67976,0.41517,0.82214,0.00192929,0.00192929,0.00192929
58,132.092,0.61102,0.40032,0.82258,0.99697,0.98148,0.99446,0.8467,0.6624,0.40335,0.82021,0.00192825,0.00192825,0.00192825
59,133.956,0.582,0.38419,0.82046,0.98408,0.9967,0.995,0.84611,0.65056,0.39908,0.81927,0.00192718,0.00192718,0.00192718
60,135.807,0.60137,0.42262,0.80437,0.98396,0.99805,0.995,0.85089,0.65186,0.40755,0.8177,0.00192616,0.00192616,0.00192616
61,137.64,0.63637,0.44413,0.81229,0.98686,0.99806,0.995,0.85335,0.6485,0.41431,0.81712,0.00192514,0.00192514,0.00192514
62,139.449,0.59978,0.42334,0.82474,0.99075,0.9986,0.995,0.85675,0.64155,0.43988,0.81476,0.00192418,0.00192418,0.00192418
63,141.304,0.63949,0.40795,0.83214,0.98967,0.99795,0.995,0.84878,0.64902,0.45702,0.81488,0.00192318,0.00192318,0.00192318
64,143.194,0.62416,0.41134,0.8091,0.98645,0.99768,0.995,0.85706,0.63306,0.4563,0.81698,0.00192213,0.00192213,0.00192213
65,145.039,0.64956,0.40207,0.83045,0.9844,0.99467,0.995,0.85397,0.64116,0.42909,0.82048,0.0019211,0.0019211,0.0019211
66,146.912,0.66816,0.45112,0.8217,0.99357,0.98148,0.98942,0.84334,0.66319,0.43219,0.82016,0.00192006,0.00192006,0.00192006
67,148.769,0.66102,0.43161,0.81705,0.99504,0.98148,0.98277,0.82739,0.67463,0.42773,0.82112,0.00191903,0.00191903,0.00191903
68,150.632,0.60127,0.40833,0.83718,0.99646,0.98148,0.98149,0.83384,0.64927,0.42538,0.82171,0.00191801,0.00191801,0.00191801
69,152.454,0.60674,0.39836,0.81158,0.99716,0.98148,0.98109,0.84385,0.62229,0.4087,0.82206,0.00191699,0.00191699,0.00191699
70,154.309,0.61173,0.42806,0.81959,0.99764,0.98148,0.98172,0.84762,0.63399,0.39607,0.82392,0.00191598,0.00191598,0.00191598
71,156.205,0.60698,0.40582,0.81768,0.99765,0.98148,0.98352,0.84877,0.63434,0.40212,0.82501,0.00191497,0.00191497,0.00191497
72,158.122,0.58992,0.41354,0.79605,0.99721,0.98148,0.98633,0.84321,0.65936,0.40102,0.82589,0.00191391,0.00191391,0.00191391
73,159.966,0.62496,0.42735,0.81467,0.99655,0.98148,0.99306,0.85536,0.66164,0.39552,0.82434,0.00191291,0.00191291,0.00191291
74,161.823,0.61657,0.36823,0.8227,0.99494,0.98148,0.99446,0.85599,0.64799,0.38953,0.8226,0.00191187,0.00191187,0.00191187
75,163.688,0.62015,0.40711,0.82304,0.98409,0.99692,0.995,0.85537,0.63899,0.37848,0.82182,0.00191082,0.00191082,0.00191082
76,165.535,0.65284,0.41769,0.82124,0.9842,0.99659,0.995,0.8595,0.64323,0.37061,0.82237,0.00190984,0.00190984,0.00190984
77,167.395,0.6258,0.43173,0.82209,0.98509,0.9984,0.995,0.85066,0.63819,0.3783,0.82067,0.0019088,0.0019088,0.0019088
78,169.244,0.60893,0.37392,0.80897,0.98671,0.9985,0.995,0.85826,0.64399,0.38339,0.82225,0.00190777,0.00190777,0.00190777
79,171.12,0.60242,0.38434,0.82299,0.98702,0.99842,0.995,0.85845,0.64046,0.38217,0.82417,0.00190674,0.00190674,0.00190674
80,172.98,0.59402,0.39315,0.8285,0.98751,0.99836,0.995,0.86851,0.62709,0.37871,0.82404,0.00190571,0.00190571,0.00190571
81,174.817,0.60873,0.38815,0.87809,0.98837,0.99833,0.995,0.86912,0.62626,0.37363,0.82278,0.00190469,0.00190469,0.00190469
82,176.701,0.58223,0.36097,0.81797,0.98861,0.9984,0.995,0.85568,0.64086,0.3802,0.82272,0.00190368,0.00190368,0.00190368
83,178.547,0.6095,0.38799,0.81073,0.99228,0.99423,0.995,0.84924,0.6472,0.37724,0.82479,0.00190266,0.00190266,0.00190266
84,180.391,0.60049,0.38024,0.82827,0.99861,0.98632,0.995,0.84553,0.65129,0.37683,0.82675,0.00190165,0.00190165,0.00190165
85,182.234,0.65719,0.36878,0.83223,0.98747,0.99566,0.995,0.85309,0.66256,0.37927,0.82829,0.00190065,0.00190065,0.00190065
86,184.095,0.63194,0.38021,0.80288,0.99775,0.98148,0.99446,0.85471,0.65354,0.37865,0.82751,0.00189964,0.00189964,0.00189964
87,185.936,0.5631,0.35516,0.81957,0.99724,0.98148,0.99191,0.84708,0.65006,0.37662,0.82559,0.00189858,0.00189858,0.00189858
88,187.799,0.56233,0.33901,0.83296,0.99708,0.98148,0.99157,0.8449,0.64485,0.37415,0.82331,0.00189759,0.00189759,0.00189759
89,189.658,0.55752,0.36766,0.80131,0.99749,0.98148,0.99157,0.85246,0.636,0.37359,0.82176,0.00189653,0.00189653,0.00189653
90,191.523,0.60011,0.38709,0.83322,0.9979,0.98148,0.99306,0.86156,0.65673,0.36978,0.8225,0.00189554,0.00189554,0.00189554
91,193.4,0.56582,0.35628,0.82532,0.99738,0.98148,0.99397,0.86293,0.65415,0.37327,0.82278,0.00189449,0.00189449,0.00189449
92,195.23,0.55796,0.35297,0.81775,0.98467,0.99883,0.995,0.84171,0.65249,0.35605,0.82381,0.00189351,0.00189351,0.00189351
93,197.089,0.61282,0.38292,0.82354,0.98528,0.99879,0.995,0.85082,0.63761,0.351,0.82429,0.00189247,0.00189247,0.00189247
94,198.934,0.59748,0.36957,0.79901,0.98744,0.99867,0.995,0.86028,0.6226,0.34263,0.82224,0.00189149,0.00189149,0.00189149
95,200.787,0.561,0.33821,0.83988,0.99084,0.99863,0.995,0.85638,0.63168,0.34458,0.82342,0.00189045,0.00189045,0.00189045
96,202.593,0.56651,0.35523,0.82443,0.99254,0.99881,0.995,0.86044,0.64223,0.35769,0.82498,0.00188942,0.00188942,0.00188942
97,204.443,0.56352,0.3671,0.83081,0.99244,0.99881,0.995,0.84807,0.65857,0.37709,0.8231,0.00188845,0.00188845,0.00188845
98,206.288,0.60991,0.37023,0.82354,0.99333,0.99894,0.995,0.85052,0.67866,0.36715,0.82405,0.00188742,0.00188742,0.00188742
99,208.173,0.63412,0.35401,0.8122,0.99443,0.99923,0.995,0.84828,0.6542,0.34749,0.82511,0.00188639,0.00188639,0.00188639
100,210.031,0.59389,0.37596,0.81298,0.99555,1,0.995,0.8584,0.66408,0.35164,0.83055,0.00188537,0.00188537,0.00188537
101,211.921,0.64701,0.38758,0.83031,0.99568,1,0.995,0.85655,0.67727,0.34593,0.83345,0.00188435,0.00188435,0.00188435
102,213.762,0.62681,0.36375,0.82353,0.99641,0.99987,0.995,0.85688,0.63891,0.34357,0.82622,0.00188333,0.00188333,0.00188333
103,215.623,0.61944,0.35947,0.85941,0.99605,0.99915,0.995,0.85619,0.6647,0.36502,0.82322,0.00188231,0.00188231,0.00188231
104,217.463,0.59592,0.39215,0.80689,0.99418,0.99869,0.995,0.85604,0.69536,0.37054,0.82478,0.00188129,0.00188129,0.00188129
105,219.282,0.61686,0.35896,0.8267,0.9923,0.99856,0.995,0.85838,0.65065,0.35487,0.82315,0.00188028,0.00188028,0.00188028
106,221.135,0.56249,0.3706,0.82783,0.98962,0.99859,0.995,0.87016,0.6213,0.34984,0.8217,0.00187927,0.00187927,0.00187927
107,222.987,0.56722,0.35681,0.81909,0.9876,0.99864,0.995,0.85544,0.64023,0.35116,0.82186,0.00187826,0.00187826,0.00187826
108,224.838,0.64214,0.36176,0.83055,0.98632,0.99874,0.995,0.85893,0.63541,0.34171,0.82043,0.00187718,0.00187718,0.00187718
109,226.726,0.58847,0.36163,0.82032,0.98596,0.99879,0.995,0.85574,0.66769,0.36021,0.82107,0.00187618,0.00187618,0.00187618
110,228.58,0.5403,0.37209,0.81807,0.98654,0.99877,0.995,0.85512,0.70317,0.3857,0.82388,0.00187518,0.00187518,0.00187518
111,230.412,0.63214,0.40352,0.81827,0.98833,0.99867,0.995,0.85288,0.69398,0.38648,0.82357,0.0018741,0.0018741,0.0018741
112,232.275,0.62342,0.37509,0.82572,0.99185,0.99853,0.995,0.85642,0.637,0.34955,0.82303,0.00187311,0.00187311,0.00187311
113,234.139,0.544,0.35904,0.82296,0.99366,0.99845,0.995,0.85127,0.62794,0.34159,0.8238,0.00187211,0.00187211,0.00187211
114,235.995,0.58591,0.36705,0.82362,0.99303,0.99848,0.995,0.85245,0.65036,0.3469,0.82359,0.00187104,0.00187104,0.00187104
115,237.834,0.59995,0.36667,0.82329,0.99126,0.99856,0.995,0.8466,0.66131,0.35114,0.82148,0.00187005,0.00187005,0.00187005
116,239.685,0.58448,0.36573,0.80242,0.98812,0.99872,0.995,0.85185,0.6403,0.35258,0.81996,0.00186906,0.00186906,0.00186906
117,241.534,0.52802,0.34171,0.80981,0.9939,0.98148,0.99306,0.85143,0.63541,0.36636,0.82056,0.001868,0.001868,0.001868
118,243.421,0.60693,0.38158,0.81274,0.99407,0.98148,0.99157,0.85482,0.63575,0.35948,0.82156,0.00186701,0.00186701,0.00186701
119,245.263,0.61267,0.35525,0.80686,0.99531,0.98148,0.99095,0.85961,0.63086,0.35535,0.82137,0.00186596,0.00186596,0.00186596
120,247.146,0.56341,0.36251,0.81279,0.99617,0.98148,0.98964,0.85583,0.64989,0.36684,0.82231,0.00186497,0.00186497,0.00186497
121,248.978,0.56894,0.36355,0.80558,0.99623,0.98133,0.98827,0.858,0.64183,0.36677,0.82123,0.00186392,0.00186392,0.00186392
