epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81578,2.26283,17.7575,1.04893,0,0,0,0,1.98634,8.70405,1.0282,0.1,0,0
2,3.21818,1.90892,7.80913,0.98073,0.00333,0.5,0.00325,0.00065,2.14099,6.54163,1.05319,0.0990198,1.9802e-05,1.9802e-05
3,4.65824,2.20096,6.60613,0.92645,0.00405,0.5,0.00384,0.00077,2.40502,5.53235,1.08881,0.0980392,3.9208e-05,3.9208e-05
4,5.97943,2.49926,6.42371,0.82324,0.00405,0.5,0.00384,0.00077,1.90858,4.96922,1.04816,0.0970582,5.8218e-05,5.8218e-05
5,7.54706,1.74045,4.96872,0.98465,0.00405,0.5,0.00384,0.00077,1.38439,4.91234,1.00871,0.0960768,7.6832e-05,7.6832e-05
6,8.99807,1.65239,4.04544,0.87726,0.00405,0.5,0.00384,0.00077,1.17225,5.09184,0.99112,0.0950951,9.505e-05,9.505e-05
7,10.3434,1.99839,4.09144,0.93231,0.00405,0.5,0.00384,0.00077,1.19644,5.27881,0.9857,0.0941129,0.000112872,0.000112872
8,11.6855,1.51569,3.4402,0.85154,0.00405,0.5,0.00384,0.00077,1.34044,5.46332,0.99307,0.0931303,0.000130298,0.000130298
9,13.0947,1.18144,3.19611,0.85078,0.00405,0.5,0.00384,0.00077,1.33248,5.59816,1.00453,0.0921473,0.000147328,0.000147328
10,14.6053,1.16189,2.84524,0.85098,0.00405,0.5,0.00384,0.00077,1.66988,5.75373,1.01966,0.091164,0.000163962,0.000163962
11,16.2693,1.58531,2.78256,0.76969,0.00405,0.5,0.00384,0.00077,2.14507,5.78918,1.0522,0.0901802,0.0001802,0.0001802
12,17.7516,1.18007,2.0939,0.81835,0.00405,0.5,0.00384,0.00077,2.55947,5.85275,1.07857,0.089196,0.000196042,0.000196042
13,19.1378,1.69357,2.7468,0.76095,0.00405,0.5,0.00384,0.00077,2.83411,5.98649,1.10403,0.0882115,0.000211488,0.000211488
14,20.5146,2.25105,2.70305,0.82306,0.00405,0.5,0.00384,0.00077,2.87041,6.1515,1.10354,0.0872265,0.000226538,0.000226538
15,21.8427,1.78987,2.04577,0.83413,0.00405,0.5,0.00384,0.00077,2.81345,6.32835,1.09165,0.0862412,0.000241192,0.000241192
16,23.3166,1.68051,1.60347,0.91833,0.00405,0.5,0.00384,0.00077,2.67891,6.48103,1.07235,0.0852555,0.00025545,0.00025545
17,24.8606,1.69471,1.27581,0.81463,0.00405,0.5,0.00384,0.00077,2.63175,6.60646,1.06541,0.0842693,0.000269312,0.000269312
18,26.3947,1.71246,1.74217,0.79868,0.00405,0.5,0.00384,0.00077,2.63175,6.60646,1.06541,0.0832828,0.000282778,0.000282778
19,28.0459,1.55825,1.16239,0.77653,0.00405,0.5,0.00384,0.00077,2.58996,6.74732,1.05999,0.0822958,0.000295848,0.000295848
20,29.6864,1.65801,1.23403,0.90427,0.00405,0.5,0.00384,0.00077,2.58996,6.74732,1.05999,0.0813085,0.000308522,0.000308522
21,31.2369,1.73853,1.37946,0.93971,0.00405,0.5,0.00384,0.00077,2.65817,6.84908,1.0676,0.0803208,0.0003208,0.0003208
22,32.5899,1.33152,1.1351,0.84095,0.00405,0.5,0.00384,0.00077,2.65817,6.84908,1.0676,0.0793327,0.000332682,0.000332682
23,33.9205,1.68212,1.09765,0.83684,0.00405,0.5,0.00384,0.00077,2.82702,6.91994,1.08681,0.0783442,0.000344168,0.000344168
24,35.2497,1.25811,0.80705,0.87137,0.00405,0.5,0.00384,0.00077,2.82702,6.91994,1.08681,0.0773553,0.000355258,0.000355258
25,36.6786,1.36299,0.80943,0.83545,0.00405,0.5,0.00384,0.00077,2.88885,6.9514,1.09647,0.076366,0.000365952,0.000365952
26,38.3691,1.38946,0.97409,0.84547,0.00405,0.5,0.00384,0.00077,2.88885,6.9514,1.09647,0.0753763,0.00037625,0.00037625
27,39.7841,1.26651,1.39277,0.81025,0.00405,0.5,0.00384,0.00077,2.75736,6.90738,1.0825,0.0743862,0.000386152,0.000386152
28,41.3594,1.81475,1.54557,0.92394,0.00405,0.5,0.00384,0.00077,2.75736,6.90738,1.0825,0.0733957,0.000395658,0.000395658
29,42.9104,1.27454,0.72723,0.87797,0.00405,0.5,0.00384,0.00077,2.43901,6.76306,1.0478,0.0724048,0.000404768,0.000404768
30,44.614,1.12393,0.98337,0.80251,0.00405,0.5,0.00384,0.00077,2.43901,6.76306,1.0478,0.0714135,0.000413482,0.000413482
31,46.0787,1.48332,1.49059,0.793,0.00405,0.5,0.00384,0.00077,2.06753,6.53915,1.01187,0.0704218,0.0004218,0.0004218
32,47.4243,1.72889,1.32711,0.85574,0.00405,0.5,0.00384,0.00077,2.06753,6.53915,1.01187,0.0694297,0.000429722,0.000429722
33,48.8687,1.29075,0.89482,0.89789,0.00405,0.5,0.00384,0.00077,1.72123,6.21908,0.9824,0.0684372,0.000437248,0.000437248
34,50.4416,1.31566,1.05768,0.88279,0.00405,0.5,0.00384,0.00077,1.72123,6.21908,0.9824,0.0674444,0.000444378,0.000444378
35,52.0222,1.18404,0.755,0.80038,0.00405,0.5,0.00384,0.00077,1.47409,5.76835,0.96324,0.0664511,0.000451112,0.000451112
36,53.3683,1.64294,1.29284,0.83612,0.00405,0.5,0.00384,0.00077,1.47409,5.76835,0.96324,0.0654575,0.00045745,0.00045745
37,54.8424,1.07875,0.57604,0.88325,0.00405,0.5,0.00384,0.00077,1.39915,5.21823,0.95887,0.0644634,0.000463392,0.000463392
38,56.4563,1.31848,0.74451,0.84656,0.00405,0.5,0.00384,0.00077,1.39915,5.21823,0.95887,0.0634689,0.000468938,0.000468938
39,57.8717,0.8759,0.59961,0.82422,0.00405,0.5,0.00384,0.00077,1.50077,4.7055,0.96853,0.0624741,0.000474088,0.000474088
40,59.3053,0.95058,0.69891,0.79027,0.00405,0.5,0.00384,0.00077,1.50077,4.7055,0.96853,0.0614788,0.000478842,0.000478842
41,60.7007,0.83834,0.59596,0.8129,0.00405,0.5,0.00384,0.00077,1.53796,4.23172,0.97647,0.0604832,0.0004832,0.0004832
42,62.1834,1.25834,0.845,0.84136,0.00405,0.5,0.00384,0.00077,1.53796,4.23172,0.97647,0.0594872,0.000487162,0.000487162
