epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42754,2.26527,14.0236,1.24093,0.00333,0.5,0.0029,0.00116,3.16508,12.053,1.06941,0.1,0,0
2,2.43159,2.36627,19.516,1.1743,0.00333,0.5,0.0031,0.00124,3.18231,12.7074,1.05341,0.0990199,1.9934e-05,1.9934e-05
3,3.15258,2.11297,20.7179,1.1152,0.00333,0.5,0.0032,0.00128,3.27682,12.926,1.05311,0.0980397,3.9736e-05,3.9736e-05
4,3.70032,1.71987,13.7475,0.99629,0.00333,0.5,0.00331,0.00133,3.20955,13.2179,1.02852,0.0970594,5.9406e-05,5.9406e-05
5,4.23829,1.75069,14.2138,1.14142,0.00333,0.5,0.00307,0.00123,3.23635,12.9785,1.05263,0.0960789,7.8944e-05,7.8944e-05
6,4.77004,2.16179,11.4615,1.13384,0.00333,0.5,0.00306,0.00122,3.19113,12.4739,1.04399,0.0950983,9.835e-05,9.835e-05
7,5.29926,2.05473,19.3504,1.02784,0.00333,0.5,0.00299,0.0012,3.14122,12.0209,1.03704,0.0941176,0.000117624,0.000117624
8,5.83484,2.2458,19.6603,1.36868,0.00333,0.5,0.00291,0.00117,3.04066,12.1603,1.0073,0.0931368,0.000136766,0.000136766
9,6.35798,2.08669,10.9958,1.17501,0.00333,0.5,0.00291,0.00117,1.45686,6.55528,0.87053,0.0921558,0.000155776,0.000155776
10,6.91804,1.33736,8.14485,0.85725,0.00333,0.5,0.00291,0.00117,1.37417,7.23633,0.85091,0.0911747,0.000174654,0.000174654
11,7.44716,1.45527,8.41007,0.95945,0.00333,0.5,0.00291,0.00117,1.17099,5.0575,0.81742,0.0901934,0.0001934,0.0001934
12,7.99538,1.15236,5.8939,0.84911,0.00333,0.5,0.00291,0.00117,1.04786,4.9507,0.84395,0.089212,0.000212014,0.000212014
13,8.52493,0.86107,5.25853,0.95088,0.00333,0.5,0.00291,0.00117,1.35065,5.18653,0.9013,0.0882305,0.000230496,0.000230496
14,9.05453,0.98576,3.771,0.87832,0.00333,0.5,0.00251,0.00176,1.29007,5.60863,0.90732,0.0872488,0.000248846,0.000248846
15,9.57852,1.26615,3.8568,0.84813,0.00333,0.5,0.003,0.0018,1.38128,5.73897,0.92112,0.0862671,0.000267064,0.000267064
16,10.1065,1.26563,3.74758,0.86324,0.00333,0.5,0.003,0.0018,1.5319,5.8223,0.95579,0.0852852,0.00028515,0.00028515
17,10.6317,1.15441,2.87207,0.82372,0.00333,0.5,0.003,0.0018,1.72376,5.82864,0.97669,0.0843031,0.000303104,0.000303104
18,11.1807,1.38951,2.91849,0.86091,0.00333,0.5,0.003,0.0018,1.72376,5.82864,0.97669,0.0833209,0.000320926,0.000320926
19,11.7147,1.20741,2.55126,0.80377,0.00333,0.5,0.003,0.0018,1.52446,5.46431,0.96698,0.0823386,0.000338616,0.000338616
20,12.2319,1.38317,2.48959,0.87359,0.00333,0.5,0.003,0.0018,1.52446,5.46431,0.96698,0.0813562,0.000356174,0.000356174
21,12.7956,1.19535,2.13987,0.96748,0.00333,0.5,0.003,0.0018,1.70667,4.84947,0.95636,0.0803736,0.0003736,0.0003736
22,13.3128,1.36574,1.84804,0.91184,0.00333,0.5,0.003,0.0018,1.70667,4.84947,0.95636,0.0793909,0.000390894,0.000390894
23,13.8268,0.94723,1.49041,0.82958,0.00333,0.5,0.003,0.0018,1.31323,4.64395,0.87277,0.0784081,0.000408056,0.000408056
24,14.3439,0.90697,1.26811,0.84594,0.00333,0.5,0.003,0.0018,1.31323,4.64395,0.87277,0.0774251,0.000425086,0.000425086
25,14.8862,0.7982,1.09133,0.88775,0.00333,0.5,0.003,0.0018,1.31059,4.83965,0.83732,0.076442,0.000441984,0.000441984
26,15.394,1.03866,0.92598,0.87262,0.00333,0.5,0.003,0.0018,1.31059,4.83965,0.83732,0.0754588,0.00045875,0.00045875
