epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5546,1.76673,12.6167,1.07011,0.00074,0.01786,0.0004,0.00016,2.47906,6.88027,1.11095,0.09706,6e-05,6e-05
2,20.6325,1.75511,12.4782,1.09328,0.00093,0.01786,0.00051,0.0001,2.38712,6.74628,1.09984,0.0931399,0.000139935,0.000139935
3,32.7081,1.61234,10.362,1.00841,0.00093,0.01786,0.00051,0.0001,1.13461,36.3526,0.93435,0.0892198,0.00021982,0.00021982
4,39.6131,1.05544,4.63812,0.87742,0.00061,0.07275,0.00033,0.00021,1.09069,18.724,0.87567,0.0852996,0.000299611,0.000299611
5,41.9018,0.98674,2.77519,0.83945,0.00241,0.32407,0.00182,0.00096,1.19672,8.3464,0.88168,0.0813794,0.000379405,0.000379405
6,43.6858,0.94602,2.05827,0.84957,0.01144,0.52249,0.01166,0.00692,1.10229,4.48772,0.86831,0.0774592,0.000459238,0.000459238
7,45.4974,0.93855,1.78901,0.85625,0.09322,0.32407,0.07717,0.04226,1.04673,4.34375,0.8617,0.0735391,0.000539067,0.000539067
8,47.2819,0.83607,1.62121,0.86363,0.625,0.19841,0.38118,0.29373,0.9567,4.21072,0.85297,0.0696189,0.000618885,0.000618885
9,49.1196,0.85331,1.52459,0.87121,0.50556,0.23347,0.34528,0.27206,0.98179,4.13164,0.85846,0.0656987,0.000698692,0.000698692
10,51.0061,0.82215,1.37194,0.86961,0.375,0.21429,0.27223,0.20473,0.971,4.20213,0.85482,0.0617785,0.000778485,0.000778485
11,52.893,0.85626,1.35051,0.85608,0.52941,0.3578,0.41928,0.34578,1.10295,4.0821,0.88045,0.0578583,0.000858265,0.000858265
12,54.7215,0.92106,1.29753,0.86756,0.525,0.46693,0.44083,0.32051,1.38594,3.8553,0.93448,0.053938,0.000938035,0.000938035
13,56.5774,0.85604,1.23814,0.82821,0.46658,0.79828,0.52802,0.44032,0.89419,2.74452,0.85434,0.0500178,0.0010178,0.0010178
14,62.7724,1.01877,1.15359,0.84494,0.46411,0.92659,0.56388,0.468,0.85251,2.27024,0.843,0.0460975,0.00109754,0.00109754
15,67.6503,0.85774,1.14954,0.83611,0.48389,0.77101,0.56741,0.42897,1.06139,1.9009,0.88116,0.0421771,0.00117707,0.00117707
16,70.3427,0.84249,1.15257,0.84744,0.49539,0.66756,0.57224,0.42034,1.09546,1.79339,0.89118,0.0382566,0.00125664,0.00125664
17,73.0614,0.79953,1.09264,0.83486,0.48167,0.72487,0.57476,0.4414,1.00616,1.681,0.87899,0.0343363,0.00133628,0.00133628
18,75.6043,0.74833,1.11629,0.82036,0.5069,0.70635,0.57787,0.44615,0.95733,1.61767,0.87055,0.0304159,0.00141591,0.00141591
19,78.2753,0.85461,1.07759,0.82977,0.56722,0.70351,0.58494,0.44006,1.02492,1.67011,0.88442,0.0264955,0.00149553,0.00149553
20,80.9384,0.80218,1.09663,0.85952,0.56271,0.72877,0.59383,0.44078,1.04884,1.6117,0.89029,0.0225751,0.00157512,0.00157512
21,84.37,0.81363,1.02636,0.84384,0.48407,0.89021,0.61593,0.48703,0.86747,1.31177,0.85263,0.0186547,0.0016547,0.0016547
22,86.6748,0.73952,1.01595,0.84408,0.49524,0.96398,0.63595,0.51403,0.80882,1.24091,0.843,0.0147342,0.00173421,0.00173421
23,90.8064,0.77672,0.9854,0.8537,0.50467,0.94542,0.67614,0.53239,0.86737,1.14288,0.8507,0.0108138,0.00181378,0.00181378
24,95.1057,0.82404,1.02555,0.85162,0.54713,0.92659,0.70449,0.55379,0.87502,1.054,0.852,0.0068932,0.0018932,0.0018932
25,97.4885,0.76715,0.90464,0.83932,0.56983,0.90873,0.75938,0.62266,0.78571,0.97849,0.83896,0.00297258,0.00197258,0.00197258
26,100.199,0.70381,0.94115,0.81548,0.60941,0.92659,0.79753,0.65838,0.75522,0.94082,0.83231,0.00199232,0.00199232,0.00199232
27,103.586,0.75671,0.78808,0.85023,0.61266,0.9444,0.82867,0.6987,0.73716,0.93477,0.83041,0.0019921,0.0019921,0.0019921
28,105.89,0.73383,0.83108,0.83252,0.78262,0.90744,0.94491,0.79058,0.73508,0.82086,0.82875,0.00199184,0.00199184,0.00199184
29,108.555,0.74756,0.73388,0.83031,0.54911,0.9168,0.82161,0.66826,0.77629,0.92872,0.83539,0.00199166,0.00199166,0.00199166
30,111.797,0.74855,0.69866,0.81927,0.96057,0.90658,0.96836,0.79017,0.7784,0.7331,0.83682,0.00199144,0.00199144,0.00199144
31,114.029,0.70962,0.59986,0.83216,0.85485,0.90876,0.96017,0.77833,0.7501,0.74769,0.831,0.00199119,0.00199119,0.00199119
