epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2028,1.76673,12.6167,1.07011,0.00074,0.01786,0.0004,0.00016,2.47906,6.88027,1.11095,0.09706,6e-05,6e-05
2,19.3145,1.75511,12.4782,1.09328,0.00093,0.01786,0.00051,0.0001,2.38712,6.74628,1.09984,0.0931395,0.000139538,0.000139538
3,30.2354,1.61054,10.3625,1.00831,0.00093,0.01786,0.00051,0.0001,1.1545,20.9785,0.93355,0.0892185,0.000218548,0.000218548
4,34.6998,1.05552,4.64707,0.87713,0.00085,0.08995,0.00048,0.00033,1.07591,9.5864,0.87427,0.085297,0.00029703,0.00029703
5,36.9534,0.98529,2.78111,0.83872,0.00239,0.2877,0.00174,0.0009,1.17805,7.72134,0.88097,0.081375,0.000374984,0.000374984
6,38.7131,0.9387,2.0512,0.84882,0.0133,0.50397,0.01293,0.00746,1.06763,4.57501,0.8674,0.0774524,0.00045241,0.00045241
7,40.5244,0.94468,1.79429,0.85724,0.07609,0.41468,0.06089,0.03644,1.02536,4.28273,0.86173,0.0735293,0.000529308,0.000529308
8,42.355,0.83487,1.6341,0.86344,0.54773,0.30754,0.3811,0.28231,0.95984,4.13922,0.85605,0.0696057,0.000605678,0.000605678
9,44.2165,0.84467,1.54524,0.86996,0.44762,0.41667,0.37015,0.30705,0.95374,3.98072,0.85705,0.0656815,0.00068152,0.00068152
10,46.0951,0.80274,1.38204,0.86729,0.60476,0.41336,0.4585,0.37454,0.95609,4.0235,0.8573,0.0617568,0.000756834,0.000756834
11,48.0815,0.83325,1.35821,0.8561,0.49722,0.54101,0.44301,0.36468,1.01732,3.82912,0.86628,0.0578316,0.00083162,0.00083162
12,50.0842,0.8885,1.29695,0.85908,0.50428,0.74405,0.51994,0.39591,1.18464,3.27556,0.89606,0.0539059,0.000905878,0.000905878
13,52.1011,0.82086,1.24357,0.82483,0.47987,0.87169,0.56631,0.47327,0.88964,2.41238,0.85287,0.0499796,0.000979608,0.000979608
14,54.059,0.92263,1.15261,0.83357,0.46641,0.94511,0.58447,0.47045,0.92875,2.1691,0.86074,0.0460528,0.00105281,0.00105281
15,56.0225,0.81415,1.14107,0.83694,0.50318,0.74179,0.57794,0.44188,1.0195,1.83357,0.88234,0.0421255,0.00112548,0.00112548
16,57.9726,0.79372,1.14695,0.83713,0.51081,0.77538,0.58727,0.46681,0.91268,1.65361,0.86249,0.0381976,0.00119763,0.00119763
17,59.9033,0.79457,1.08701,0.82936,0.50353,0.79828,0.58793,0.45841,0.94878,1.57276,0.86368,0.0342692,0.00126925,0.00126925
18,61.8648,0.78252,1.11816,0.82273,0.49253,0.79891,0.57318,0.42883,1.04604,1.4858,0.88276,0.0303403,0.00134034,0.00134034
19,63.9815,0.7746,1.06938,0.82624,0.4948,0.83984,0.58964,0.46682,0.90404,1.41709,0.85759,0.0264109,0.0014109,0.0014109
20,65.9973,0.81004,1.08311,0.85597,0.50705,0.91744,0.61249,0.48932,0.79382,1.33592,0.83794,0.0224809,0.00148093,0.00148093
21,67.9983,0.84096,1.04401,0.84177,0.49605,0.93631,0.6058,0.47868,0.86496,1.2403,0.84616,0.0185504,0.00155044,0.00155044
22,70.1448,0.7445,0.99177,0.84865,0.50287,0.97993,0.63975,0.51325,0.8364,1.14232,0.84182,0.0146194,0.00161942,0.00161942
23,72.2686,0.77553,0.98223,0.85836,0.51251,0.92725,0.6772,0.56219,0.78118,1.08352,0.83387,0.0106879,0.00168787,0.00168787
24,74.3886,0.83606,1.01212,0.84964,0.53266,0.94577,0.72313,0.59947,0.73818,1.02654,0.82809,0.00675579,0.00175579,0.00175579
25,76.5203,0.76386,0.89081,0.83621,0.59474,0.8545,0.77607,0.65374,0.7287,0.95312,0.82684,0.00282318,0.00182318,0.00182318
26,78.5809,0.70475,0.8402,0.81759,0.57064,0.92593,0.77795,0.65453,0.71422,0.94197,0.82346,0.001835,0.001835,0.001835
27,80.5941,0.70866,0.80052,0.84483,0.73355,0.85905,0.8755,0.73209,0.72194,0.86428,0.82276,0.0018284,0.0018284,0.0018284
28,82.5593,0.72044,0.7729,0.83411,0.94984,0.89463,0.96813,0.8073,0.71524,0.74086,0.82255,0.0018218,0.0018218,0.0018218
29,84.5323,0.72902,0.75719,0.82645,0.7981,0.94064,0.92716,0.76377,0.71626,0.80313,0.82275,0.0018152,0.0018152,0.0018152
30,86.4145,0.74634,0.70035,0.81284,0.91399,0.90939,0.96143,0.8046,0.71023,0.70795,0.825,0.0018086,0.0018086,0.0018086
31,88.336,0.68355,0.59283,0.82503,0.99384,0.90939,0.97181,0.80855,0.71174,0.63122,0.82244,0.001802,0.001802,0.001802
32,90.1484,0.71819,0.58646,0.84574,0.97717,0.88273,0.96654,0.8066,0.72273,0.64581,0.82235,0.0017954,0.0017954,0.0017954
33,91.9532,0.66812,0.58839,0.81438,0.89653,0.80533,0.94243,0.78311,0.74612,0.69082,0.82998,0.0017888,0.0017888,0.0017888
34,93.7857,0.71399,0.55526,0.81794,0.91865,0.83804,0.95036,0.78748,0.76693,0.66169,0.83745,0.0017822,0.0017822,0.0017822
35,95.6283,0.7277,0.55508,0.81361,0.86085,0.83458,0.95371,0.80026,0.74103,0.66803,0.83018,0.0017756,0.0017756,0.0017756
36,97.468,0.67817,0.51287,0.83745,0.93659,0.82449,0.96118,0.81031,0.70533,0.62144,0.82326,0.001769,0.001769,0.001769
37,99.2458,0.7656,0.57722,0.86417,0.94309,0.81444,0.95281,0.8075,0.70798,0.5957,0.82552,0.0017624,0.0017624,0.0017624
38,101.042,0.7289,0.49044,0.83699,0.89637,0.81597,0.92313,0.77253,0.74763,0.62763,0.83359,0.0017558,0.0017558,0.0017558
39,102.798,0.69615,0.60436,0.81603,0.96663,0.89023,0.95766,0.79404,0.75277,0.56641,0.83504,0.0017492,0.0017492,0.0017492
40,104.572,0.70591,0.48288,0.84726,0.96075,0.92931,0.97167,0.80877,0.71503,0.53329,0.82786,0.0017426,0.0017426,0.0017426
